time/fps,train/policy_loss,train/learning_rate,time/iterations,train/reward,train/std,train/entropy_loss,time/total_timesteps,train/explained_variance,time/time_elapsed,train/value_loss,train/n_updates
249,75.4161376953125,0.0007,100,0.22056903,1.0034931898117065,-41.244205474853516,500,0.0,2,4.45383882522583,99
254,128.93804931640625,0.0007,200,-1.2849194,1.0055954456329346,-41.307960510253906,1000,0.01479637622833252,3,11.376233100891113,199
255,373.74041748046875,0.0007,300,-8.232969,1.0048173666000366,-41.286354064941406,1500,0.0,5,101.31724548339844,299
255,18.84857177734375,0.0007,400,-1.351821,1.006176471710205,-41.324222564697266,2000,0.0,7,0.5156611204147339,399
256,-361.09417724609375,0.0007,500,4.587018,1.004267930984497,-41.264427185058594,2500,0.0072863101959228516,9,113.09645080566406,499
255,-189.4595947265625,0.0007,600,11.132988,1.002064824104309,-41.20918655395508,3000,0.0,11,92.71041107177734,599
254,23.931249618530273,0.0007,700,-0.9996504,1.0038777589797974,-41.25731658935547,3500,6.556510925292969e-07,13,0.8086456060409546,699
254,-222.6217498779297,0.0007,800,-0.43250337,1.0038480758666992,-41.25340270996094,4000,-0.02013230323791504,15,33.394630432128906,799
254,43.531211853027344,0.0007,900,0.38759032,1.0060245990753174,-41.31816482543945,4500,-0.25977814197540283,17,3.0155961513519287,899
254,-41.655677795410156,0.0007,1000,-1.3951808,1.0052878856658936,-41.29490661621094,5000,-0.1093524694442749,19,9.621428489685059,999
254,-132.68235778808594,0.0007,1100,1.1573102,1.0069849491119385,-41.34217834472656,5500,-0.014432191848754883,21,11.044784545898438,1099
254,169.30313110351562,0.0007,1200,-0.83344007,1.0078580379486084,-41.367244720458984,6000,-1.1920928955078125e-07,23,28.612979888916016,1199
255,29.7684326171875,0.0007,1300,0.0087988535,1.0069992542266846,-41.34189987182617,6500,-1.1920928955078125e-07,25,8.529184341430664,1299
254,31.574573516845703,0.0007,1400,-2.9662035,1.0082371234893799,-41.38003921508789,7000,0.0,27,1.0795650482177734,1399
255,203.78219604492188,0.0007,1500,2.3480997,1.0086054801940918,-41.3802490234375,7500,0.0,29,21.46343421936035,1499
255,-66.7829360961914,0.0007,1600,-0.6577497,1.0111091136932373,-41.46575164794922,8000,4.011392593383789e-05,31,2.8836379051208496,1599
255,122.6338882446289,0.0007,1700,-0.49197215,1.0128397941589355,-41.507511138916016,8500,0.0015233755111694336,33,10.256757736206055,1699
255,-1.4641921520233154,0.0007,1800,-2.2549264,1.0134975910186768,-41.51728820800781,9000,0.0,35,6.588410377502441,1799
255,-218.8373565673828,0.0007,1900,3.1919286,1.0138765573501587,-41.53232192993164,9500,0.0,37,50.922706604003906,1899
255,-422.7853088378906,0.0007,2000,-0.41634542,1.015295147895813,-41.564422607421875,10000,-0.18352556228637695,39,210.3420867919922,1999
255,29.08205795288086,0.0007,2100,-0.62112546,1.0177066326141357,-41.642879486083984,10500,0.0,41,0.8261265754699707,2099
255,-70.88993835449219,0.0007,2200,2.2154353,1.0180743932724,-41.64988327026367,11000,0.0,43,3.622896909713745,2199
255,-137.39352416992188,0.0007,2300,1.3619258,1.018432855606079,-41.655059814453125,11500,-1.1920928955078125e-07,45,18.522483825683594,2299
255,-71.01041412353516,0.0007,2400,-0.34139803,1.020089030265808,-41.70222473144531,12000,5.960464477539063e-08,46,5.943892002105713,2399
255,103.60832214355469,0.0007,2500,7.59788,1.0197070837020874,-41.68944549560547,12500,0.0,48,20.620149612426758,2499
255,387.89739990234375,0.0007,2600,-32.230446,1.0186243057250977,-41.663578033447266,13000,0.0,50,169.81869506835938,2599
254,39.65201950073242,0.0007,2700,-1.3411894,1.0195552110671997,-41.691158294677734,13500,-1.1920928955078125e-07,52,1.4292489290237427,2699
254,55.53520965576172,0.0007,2800,-1.7802951,1.0226143598556519,-41.77416229248047,14000,0.01922154426574707,54,5.768642902374268,2799
254,-17.859588623046875,0.0007,2900,-0.30643564,1.022484302520752,-41.77317428588867,14500,5.960464477539063e-08,56,0.26389366388320923,2899
254,-65.68843078613281,0.0007,3000,-3.1980891,1.022083044052124,-41.76081848144531,15000,0.0,58,2.6043362617492676,2999
254,-106.09779357910156,0.0007,3100,4.756109,1.0209648609161377,-41.72783660888672,15500,0.0,60,9.060429573059082,3099
254,110.6623764038086,0.0007,3200,1.6783094,1.0211573839187622,-41.733116149902344,16000,1.7881393432617188e-07,62,8.2335205078125,3199
254,31.557043075561523,0.0007,3300,-14.479006,1.0219060182571411,-41.747859954833984,16500,0.0,64,24.056381225585938,3299
254,-119.41633605957031,0.0007,3400,-0.36440238,1.0236490964889526,-41.79827880859375,17000,0.029669523239135742,66,10.782866477966309,3399
254,-19.562740325927734,0.0007,3500,0.46870923,1.02397882938385,-41.81169891357422,17500,-1.1920928955078125e-07,68,0.5374022722244263,3499
254,-134.67431640625,0.0007,3600,-0.50857043,1.025246262550354,-41.84346389770508,18000,0.027047157287597656,70,13.818242073059082,3599
254,-103.99444580078125,0.0007,3700,1.9099311,1.0278334617614746,-41.90840530395508,18500,5.960464477539063e-08,72,9.40749740600586,3699
254,197.33212280273438,0.0007,3800,1.1304398,1.0256954431533813,-41.848880767822266,19000,0.0,74,25.861614227294922,3799
254,77.28223419189453,0.0007,3900,-1.6238523,1.0258570909500122,-41.85102081298828,19500,0.0,76,8.915294647216797,3899
254,-17.382593154907227,0.0007,4000,0.8127655,1.0251517295837402,-41.82820510864258,20000,0.0,78,0.2636881470680237,3999
