time/fps,train/learning_rate,train/critic_loss,train/reward,time/episodes,time/total_timesteps,time/time_elapsed,train/n_updates,train/actor_loss
141,0.001,27.60047721862793,-5.1140323,4,13324,94,13223,-44.648738861083984
141,0.001,8.114933967590332,-5.1140323,8,26648,188,26547,-31.044666290283203
141,0.001,4.192934036254883,-5.1140323,12,39972,281,39871,-21.87862205505371
