account_rewards,date
8524.084525867365,2021-07-06
-12268.5233894462,2021-07-07
11338.440009658807,2021-07-08
-1338.709302196512,2021-07-09
1009.6043144988362,2021-07-12
11548.773673858726,2021-07-13
4931.666563144652,2021-07-14
-7916.151320865611,2021-07-15
-22408.56230545044,2021-07-16
18555.320163726807,2021-07-19
4328.079010009766,2021-07-20
-712.3165626525879,2021-07-21
15098.234714363003,2021-07-22
853.0445457918104,2021-07-23
-4914.946856300347,2021-07-26
-11085.69794297032,2021-07-27
6254.341270477278,2021-07-28
-1830.4516024589539,2021-07-29
-4388.175029571634,2021-07-30
8848.797586208442,2021-08-02
-7263.2937703551725,2021-08-03
6946.2966410294175,2021-08-04
2782.5137895278167,2021-08-05
-2632.9651329957414,2021-08-06
3711.2944251557346,2021-08-09
9232.398065662477,2021-08-10
5934.542909198673,2021-08-11
49.38137469859794,2021-08-12
8557.699508666992,2021-08-13
-10767.298919677734,2021-08-16
-12889.654067993164,2021-08-17
408.4276885986328,2021-08-18
10549.754257202148,2021-08-19
3268.062225341797,2021-08-20
-2441.728515625,2021-08-23
1410.3316192626953,2021-08-24
-7443.506805419922,2021-08-25
5380.543029785156,2021-08-26
5930.7109375,2021-08-27
-48.442718505859375,2021-08-30
-431.56834411621094,2021-08-31
7330.589828491211,2021-09-01
337.2395477294922,2021-09-02
-3572.8587951660156,2021-09-03
1475.6876525878906,2021-09-07
-3191.1678924560547,2021-09-08
-11624.338424682617,2021-09-09
8258.381713867188,2021-09-10
-9277.178860706277,2021-09-13
4972.333409545943,2021-09-14
1873.3677308806218,2021-09-15
-8111.656208648579,2021-09-16
-18636.021242279094,2021-09-17
2482.5896651002113,2021-09-20
11339.285394485341,2021-09-21
8326.439454299863,2021-09-22
3852.463005828904,2021-09-23
-1074.8260001372546,2021-09-24
-22052.288806869416,2021-09-27
4925.879731002729,2021-09-28
-12088.312100234907,2021-09-29
10070.141067794757,2021-09-30
