account_rewards,date
10071.28526129527,2021-10-04
5922.566595390439,2021-10-05
8440.710662895115,2021-10-06
-870.7616511383094,2021-10-07
-1821.123781295726,2021-10-08
-8233.769897518214,2021-10-11
-2377.1851287079044,2021-10-12
14888.576517196605,2021-10-13
5309.068355560303,2021-10-14
1221.7703170776367,2021-10-15
11780.223609924316,2021-10-18
2603.721611022949,2021-10-19
-5794.544621398905,2021-10-20
-1041.5630378723145,2021-10-21
2464.946147918701,2021-10-22
-2012.9878196716309,2021-10-25
1893.5404472351074,2021-10-26
10721.24700164795,2021-10-27
-3514.3128929138184,2021-10-28
3584.6737937927246,2021-10-29
3646.234115600586,2021-11-01
8173.145523071289,2021-11-02
2271.196918487549,2021-11-03
467.61767578125,2021-11-04
-5163.006214141846,2021-11-05
506.82704162597656,2021-11-08
-6657.7094802856445,2021-11-09
-3875.6974182128906,2021-11-10
3734.6055221557617,2021-11-11
-1538.596523284912,2021-11-12
3254.409637451172,2021-11-15
3324.1704750061035,2021-11-16
11762.73249053955,2021-11-17
3891.507293701172,2021-11-18
4029.5866355895996,2021-11-19
5494.036144256592,2021-11-22
4055.737724304199,2021-11-23
-24777.678680419922,2021-11-24
8871.007640838623,2021-11-26
-6331.688270568848,2021-11-29
-4687.586353302002,2021-11-30
3804.270252227783,2021-12-01
3084.469493865967,2021-12-02
22812.24027633667,2021-12-03
15930.939472198486,2021-12-06
4410.268371582031,2021-12-07
4005.0314025878906,2021-12-08
16189.082088470459,2021-12-09
-8345.326824188232,2021-12-10
394.4104766845703,2021-12-13
16790.157833099365,2021-12-14
-13008.653091430664,2021-12-15
-16374.419605255127,2021-12-16
-3029.8660011291504,2021-12-17
11045.790424346924,2021-12-20
8755.145526885986,2021-12-21
4320.419628143311,2021-12-22
15623.62508392334,2021-12-23
3306.7982788085938,2021-12-27
4455.187477111816,2021-12-28
-3119.4738807678223,2021-12-29
3286.369125366211,2021-12-30
