date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-07-06,100,0,0,-99,0,-100,0,0,0,0,100,0,100,0,0,-40,-100,0,100,-99,0,0,0,5,0,0,-100,-99,100
2021-07-07,0,0,98,-1,0,-100,1,0,0,0,0,0,0,-90,0,0,0,0,100,0,0,0,0,0,0,0,-100,-23,100
2021-07-08,0,-6,100,0,0,-67,0,0,0,0,47,0,1,-10,0,0,0,0,100,0,-97,0,0,0,0,0,-100,0,100
2021-07-09,0,-94,100,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,100,67,-99,0,0,0,0,0,-99,0,100
2021-07-12,0,0,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,-97,0,0,0,0,0,-99,0,100
2021-07-13,0,0,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,-98,0,0,0,0,0,-99,1,100
2021-07-14,0,0,100,0,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,0,-99,0,0,0,0,0,-99,0,100
2021-07-15,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,0,0,0,-97,0,100
2021-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-22,0,0,0,0,0,0,2,0,0,0,-19,0,0,0,0,0,0,97,0,0,0,0,0,0,0,-86,0,-1,100
2021-07-23,100,0,0,0,0,0,100,0,0,0,-99,0,0,0,0,100,0,0,1,0,0,0,0,0,41,-99,0,0,100
2021-07-26,0,0,0,0,0,0,100,-21,0,0,-99,0,100,1,0,100,0,22,0,1,0,100,0,0,0,-99,0,0,100
2021-07-27,71,0,0,0,0,0,100,0,0,0,-99,0,100,2,0,100,0,100,-99,0,0,0,0,0,0,-99,0,0,100
2021-07-28,100,0,-99,0,0,0,100,0,0,0,-89,0,100,99,0,100,0,100,-99,-90,0,16,0,99,-14,-99,0,0,100
2021-07-29,84,0,-99,0,0,0,1,0,0,0,0,0,100,0,0,100,0,100,-99,0,0,0,0,0,-27,-99,0,0,100
2021-07-30,100,0,-93,0,0,0,0,0,0,0,0,0,100,0,0,100,0,100,-99,0,0,-99,0,15,0,-99,0,0,100
2021-08-02,100,0,-71,0,0,0,-27,0,0,0,0,0,100,-78,0,100,0,100,-99,0,0,-100,0,25,0,-99,0,0,100
2021-08-03,47,0,0,0,0,0,-88,0,0,0,0,0,100,-24,0,100,0,100,-99,0,0,-100,0,0,0,-99,0,0,100
2021-08-04,0,0,-52,0,0,0,-99,0,80,0,0,0,1,0,0,0,0,100,-38,0,0,-69,0,0,0,-43,0,0,100
