account_rewards,date
-224.91940670763142,2021-04-06
221.03697579202708,2021-04-07
3257.6054866714403,2021-04-08
2.5673276784364134,2021-04-09
-653.9887677192455,2021-04-12
-1718.9588878634386,2021-04-13
3364.107602539123,2021-04-14
3165.55770737445,2021-04-15
-2102.517641231767,2021-04-16
-4190.34423768986,2021-04-19
6236.04177910625,2021-04-20
-7800.70320638665,2021-04-21
6162.888791458332,2021-04-22
-2382.249698917498,2021-04-23
119.92061024857685,2021-04-26
-8760.11181262962,2021-04-27
7435.2032384605845,2021-04-28
-3801.0144935875433,2021-04-29
7863.114457088406,2021-04-30
-1228.3944233817747,2021-05-03
473.02301411435474,2021-05-04
11954.268339939183,2021-05-05
5663.158234870876,2021-05-06
-8168.621507617994,2021-05-07
-14304.99139709468,2021-05-10
-23500.540284168208,2021-05-11
16306.847598342807,2021-05-12
11123.498941917438,2021-05-13
-4426.707899452187,2021-05-14
-8120.982880222262,2021-05-17
-4830.758613029495,2021-05-18
8057.517393829301,2021-05-19
-385.4468011246063,2021-05-20
9003.621085018152,2021-05-21
-675.6861570320325,2021-05-24
-1182.510460182093,2021-05-25
1275.0473885878455,2021-05-26
709.5451176491333,2021-05-27
-2465.819339744514,2021-05-28
2985.4191194686573,2021-06-01
-6471.21835565567,2021-06-02
8390.73592798994,2021-06-03
1788.6981584854657,2021-06-04
233.190464393585,2021-06-07
-2910.9206186942756,2021-06-08
4949.939434005762,2021-06-09
4447.243235877948,2021-06-10
841.5819451867137,2021-06-11
-3716.5049204254756,2021-06-14
-9061.97703729244,2021-06-15
4024.2970823898213,2021-06-16
-9333.275021285983,2021-06-17
15655.281961711938,2021-06-18
7646.348238441395,2021-06-21
-3649.837498916546,2021-06-22
5328.826290401397,2021-06-23
4406.554153575911,2021-06-24
-818.9142295646016,2021-06-25
7279.084978210391,2021-06-28
-945.7991164283594,2021-06-29
5901.451441646554,2021-06-30
11027.860496936948,2021-07-01
