date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-04-06,0,5,0,0,0,0,100,100,0,39,100,100,86,33,0,0,18,0,10,0,12,91,0,0,29,34,78,81,0
2021-04-07,0,24,2,0,0,0,-69,-79,0,100,94,-79,-86,100,0,0,-18,100,2,0,-12,89,0,0,65,100,-78,-70,0
2021-04-08,93,63,70,0,79,16,50,-21,0,-100,33,-21,0,2,100,0,0,-36,-11,0,0,10,15,0,37,-100,100,37,0
2021-04-09,-10,50,-43,0,71,-16,74,0,0,100,32,0,0,15,-47,22,89,-64,49,0,0,-31,-15,49,-2,17,-22,100,0
2021-04-12,45,-57,-29,0,-100,100,100,0,54,-100,100,100,100,-56,100,-22,72,15,-30,83,100,-100,0,-49,-25,100,14,77,0
2021-04-13,100,-85,82,0,-50,52,-30,0,-54,4,-16,-62,7,27,-68,100,-83,84,-20,-71,32,100,100,0,-24,-7,-75,-100,0
2021-04-14,100,17,-66,0,23,-100,-3,0,0,-43,-3,-27,53,69,-46,100,-78,33,0,20,-29,-66,-14,58,-59,-100,100,-54,86
2021-04-15,-50,94,29,100,-23,-52,100,0,3,47,86,98,78,40,-39,73,66,15,0,-32,-100,-13,-25,-26,-17,58,-29,7,-38
2021-04-16,-68,-100,40,-100,0,14,84,68,-3,-38,24,100,35,20,0,100,-5,100,0,100,100,-72,-13,-32,24,100,100,47,-20
2021-04-19,22,44,-85,0,0,19,100,-68,0,-9,63,-14,-34,34,100,-1,-61,-69,0,-100,37,100,-48,100,-28,100,47,35,-6
2021-04-20,-47,-43,100,0,0,-33,100,100,35,86,100,-100,100,100,-74,61,34,-48,0,0,13,-100,0,-100,46,81,100,32,12
2021-04-21,81,100,53,0,0,17,100,10,100,-57,-55,24,5,-100,-26,63,-34,-69,0,0,100,57,72,0,-46,94,75,-83,100
2021-04-22,100,38,-54,0,12,100,74,-11,-100,5,100,-74,-100,100,0,38,0,-61,7,0,60,20,-72,81,63,17,74,100,-55
2021-04-23,100,17,-16,100,-12,-100,-37,-17,-26,-34,62,-45,12,91,16,100,0,16,-7,0,72,-85,9,-57,-63,25,81,-100,-79
2021-04-26,-100,100,57,18,59,-17,-8,-11,-9,100,74,0,14,-31,34,-38,0,-16,0,15,86,100,66,64,0,-87,-35,72,0
2021-04-27,100,58,24,-100,17,0,-100,44,0,-31,-100,0,-100,24,-30,29,54,71,0,-15,56,100,-75,100,70,-100,46,41,0
2021-04-28,100,100,100,-6,-13,0,90,-100,100,-51,32,32,-100,54,-20,68,-18,-71,0,0,59,29,0,-37,-70,100,41,37,0
2021-04-29,-40,100,-3,0,-6,100,-46,-15,-82,-18,-6,0,-8,-10,0,-63,-36,0,0,0,100,-100,0,53,0,0,100,100,3
2021-04-30,-100,0,62,100,0,-100,100,100,-18,18,-14,0,-62,50,0,0,90,66,0,0,-100,-100,0,-21,0,100,-27,-95,-3
2021-05-03,0,-100,100,-100,0,100,0,-100,0,-18,0,-32,100,0,0,100,0,-66,0,0,37,-12,0,100,0,0,-24,-53,1
2021-05-04,-29,-100,-100,17,0,-79,3,100,0,0,100,0,0,-10,0,-100,-90,100,0,0,0,-17,0,100,0,0,0,-39,0
2021-05-05,-100,-64,-29,33,-39,-9,-57,-100,79,0,-48,0,43,-34,0,-100,0,72,100,0,-100,37,100,-1,33,57,100,-100,-1
2021-05-06,100,0,-57,-43,-18,-12,-44,0,-79,0,-28,0,-100,-14,0,0,0,-3,-47,0,100,-24,0,100,0,93,2,100,100
2021-05-07,88,-70,100,0,0,0,-73,0,0,0,-100,0,100,-89,100,-100,0,-17,-53,0,0,100,-47,0,0,100,2,0,-55
2021-05-10,47,-47,25,70,100,0,68,100,0,0,-100,0,0,89,-89,-51,15,-36,100,100,-8,100,0,-48,-33,-33,0,-54,38
2021-05-11,60,0,-44,-89,-100,100,100,1,0,100,14,0,-27,-81,-2,-100,100,100,-100,74,-100,-100,0,0,0,100,-89,-43,100
2021-05-12,100,-100,0,0,82,0,-100,-100,0,-100,-25,0,-99,-100,78,52,0,98,0,-100,0,0,100,-97,0,100,0,100,100
2021-05-13,100,100,-80,28,0,-52,0,-1,0,0,0,0,0,0,-27,-100,0,-77,0,-14,0,-32,0,0,0,100,-88,100,0
