account_rewards,date
186.91385317244567,2021-04-06
672.6116656648228,2021-04-07
1660.2382402456133,2021-04-08
-169.294093475095,2021-04-09
-723.2986939313123,2021-04-12
806.2920792312361,2021-04-13
7420.981797508197,2021-04-14
3835.1072014046367,2021-04-15
-3951.158708236646,2021-04-16
-5412.712999271345,2021-04-19
6710.1213921050075,2021-04-20
-9389.189087085659,2021-04-21
7008.8639282302465,2021-04-22
-1934.2107951317448,2021-04-23
-582.8122579421615,2021-04-26
-1037.8014416961232,2021-04-27
8426.178710407228,2021-04-28
-4821.252643264714,2021-04-29
8299.442549358355,2021-04-30
7153.758497451781,2021-05-03
6554.921848491649,2021-05-04
5707.184670791612,2021-05-05
7874.239594104816,2021-05-06
2249.9259716682136,2021-05-07
-17256.758626335068,2021-05-10
-17676.227718452457,2021-05-11
9524.160136814113,2021-05-12
7602.71434455493,2021-05-13
-3811.6116304016905,2021-05-14
-7653.117669616593,2021-05-17
-3219.9657643471146,2021-05-18
4464.383699398139,2021-05-19
3832.543624931248,2021-05-20
5668.023081634543,2021-05-21
-4377.474024375901,2021-05-24
-165.84076403803192,2021-05-25
2812.043269485468,2021-05-26
6679.624866676284,2021-05-27
-492.73183527379297,2021-05-28
536.2961725960486,2021-06-01
-2071.316572139738,2021-06-02
5864.4131965942215,2021-06-03
-6482.537267074571,2021-06-04
-3.371387443621643,2021-06-07
-4589.822849220247,2021-06-08
-1730.0988016281044,2021-06-09
-4645.853955841041,2021-06-10
-322.07933677290566,2021-06-11
-1438.0280528716976,2021-06-14
-6748.155723945703,2021-06-15
-8463.479579841602,2021-06-16
-16084.623730915016,2021-06-17
17835.470596481347,2021-06-18
-255.95322705467697,2021-06-21
-2324.370588840451,2021-06-22
11845.15466462716,2021-06-23
1920.0794788055355,2021-06-24
-5501.508775676717,2021-06-25
-1072.360095981625,2021-06-28
6672.94155667501,2021-06-29
5662.178976680734,2021-06-30
7598.421471996349,2021-07-01
