account_rewards,date
3019.900118198362,2021-07-06
-8102.1591743697645,2021-07-07
12917.529889892554,2021-07-08
3981.571180458064,2021-07-09
654.5139925804688,2021-07-12
1825.0733011779375,2021-07-13
6396.738806919195,2021-07-14
-5663.665046592709,2021-07-15
-23430.99506378174,2021-07-16
15828.158288619947,2021-07-19
8103.853607177734,2021-07-20
3536.7396507263184,2021-07-21
4624.477355957031,2021-07-22
-639.1388397216797,2021-07-23
-2021.2063026428223,2021-07-26
-5762.523929595947,2021-07-27
6574.4529457092285,2021-07-28
-1189.58540725708,2021-07-29
-1141.34566116333,2021-07-30
8247.411621093634,2021-08-02
-5798.229522704962,2021-08-03
2321.1523513793945,2021-08-04
3591.257431030157,2021-08-05
-5628.687526702764,2021-08-06
5236.81459808338,2021-08-09
3362.176113128662,2021-08-10
-741.0470237731934,2021-08-11
2883.051944732666,2021-08-12
7806.28816986084,2021-08-13
-6471.157093048096,2021-08-16
-9195.058326721075,2021-08-17
8651.112545013311,2021-08-18
9726.218055725098,2021-08-19
1877.8365898132324,2021-08-20
-833.2571563720703,2021-08-23
-1235.4076886710245,2021-08-24
-5589.627573699923,2021-08-25
4671.253940979019,2021-08-26
2201.4332237243652,2021-08-27
-3520.203037261963,2021-08-30
-1389.176025390625,2021-08-31
5430.129322052002,2021-09-01
-1254.3675575256348,2021-09-02
-7933.85954284668,2021-09-03
-1807.731845855713,2021-09-07
-4791.882801055908,2021-09-08
-8469.616600036621,2021-09-09
10869.784687042236,2021-09-10
-6241.095569610596,2021-09-13
9016.56141281128,2021-09-14
-1190.3690948486328,2021-09-15
-4452.600135803223,2021-09-16
-17328.759880065918,2021-09-17
260.5246797980508,2021-09-20
6790.922203063965,2021-09-21
10684.56765747082,2021-09-22
2354.207492828369,2021-09-23
-3193.1333923339844,2021-09-24
-20073.45525729377,2021-09-27
2006.7711296081543,2021-09-28
-16044.157291885349,2021-09-29
12528.631480209297,2021-09-30
