date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-03,0,0,0,0,0,-25,1,0,0,0,0,100,100,0,-100,-63,0,-63,100,-30,-10,100,0,0,-25,0,100,0,0
2022-01-04,100,-1,0,0,0,-100,-1,58,0,0,0,0,-78,100,-31,100,0,-63,0,0,0,0,100,0,0,0,2,0,-100
2022-01-05,-3,100,0,0,100,1,0,-100,0,0,0,-33,-22,100,-100,-63,1,0,0,0,0,-100,100,0,0,0,-4,0,0
2022-01-06,0,100,0,47,-33,-31,0,-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-100,0,0,0,0,100,-100
2022-01-07,31,-40,0,-47,-28,-100,0,100,12,0,100,-67,0,0,-89,-100,-2,-45,-100,0,41,75,-11,47,-100,0,-100,80,-59
2022-01-10,-100,100,100,0,-27,11,0,-39,-12,0,100,0,0,-100,100,-75,100,100,0,0,60,100,81,-27,-100,59,-75,2,-95
2022-01-11,0,100,-11,100,0,-37,0,-55,0,18,-80,0,0,0,0,-64,-100,-100,0,0,-51,100,100,-20,0,100,100,0,0
2022-01-12,0,0,100,-42,-12,0,0,0,0,-18,100,0,100,0,-27,-57,0,-40,0,100,-89,1,-94,0,0,46,0,100,-92
2022-01-13,-51,-40,-19,24,18,100,0,13,0,0,6,0,75,-100,-94,1,0,-9,100,93,0,-87,-100,0,-100,-100,-25,-37,51
2022-01-14,-41,50,82,-63,-18,-100,3,-19,100,0,-23,0,-100,0,86,42,0,34,-100,-33,-100,-100,100,78,46,-76,62,100,-100
2022-01-18,100,0,100,100,0,-34,-3,0,-100,0,100,0,-75,0,0,0,0,93,0,-36,-6,0,0,-78,23,100,1,100,-8
2022-01-19,100,-12,-100,-82,40,100,0,100,0,0,100,100,100,0,-77,-100,94,-100,0,-100,-64,0,0,0,-68,100,0,-100,-73
2022-01-20,-100,54,-100,-37,-40,-100,100,88,100,0,0,100,92,0,-69,100,-94,100,0,-24,0,77,100,1,-100,0,-40,66,-100
2022-01-21,-36,0,-84,0,0,63,-39,-28,-100,0,-33,55,0,100,0,0,0,74,0,0,41,0,0,-1,-6,-76,100,3,61
2022-01-24,100,0,-68,59,0,62,-61,91,0,4,29,0,-9,67,0,-100,0,-92,46,0,-41,100,-100,43,-67,100,-35,-71,-35
2022-01-25,100,-44,0,-59,0,46,100,-3,0,-4,44,1,-91,-62,0,0,100,-77,0,0,0,87,100,-43,0,-40,-97,-24,-83
2022-01-26,-100,-39,0,0,0,100,0,0,100,0,32,-26,0,-47,0,0,3,0,-46,0,0,0,-41,0,0,0,-56,0,0
2022-01-27,-19,0,0,0,0,-29,-94,92,-45,0,100,0,-40,-58,0,-68,-68,-77,100,0,0,0,0,0,0,-4,100,-56,1
2022-01-28,-145,-329,0,0,0,-831,-6,-340,-55,0,-575,-230,-52,0,0,-134,-35,-397,-100,0,0,-353,-235,0,0,-209,-369,-1093,-3155
2022-01-31,0,64,0,0,11,0,0,0,35,0,100,95,0,68,0,0,0,92,30,0,100,100,0,0,100,0,100,0,0
2022-02-01,100,-64,0,100,-11,0,82,0,-35,22,72,65,0,100,0,0,100,77,100,0,-100,-17,100,0,-100,0,-29,0,87
2022-02-02,37,16,0,-100,0,0,38,3,0,-22,-11,-31,100,-100,26,0,-50,57,-100,0,0,30,74,0,0,0,100,14,-3
2022-02-03,19,-16,0,24,0,0,-100,100,16,0,27,50,-35,-68,100,0,-23,91,27,0,100,100,-48,0,0,90,-100,-14,10
2022-02-04,-16,0,0,-6,40,61,0,-88,100,0,42,100,35,38,-100,31,-27,31,14,0,41,-100,27,0,0,35,-60,0,-64
2022-02-07,-64,23,100,-18,18,-61,-20,100,-100,56,86,-100,-78,100,-26,-31,82,-100,-71,0,-90,100,43,0,0,-100,-3,0,-14
2022-02-08,69,50,-82,0,-58,100,0,-91,2,16,100,-100,-3,100,100,0,-82,-85,89,0,-5,-5,100,0,60,-25,-8,34,7
2022-02-09,-13,4,-2,31,0,36,0,-24,-18,-72,-78,-26,100,-89,56,35,98,21,-33,79,-16,100,-22,0,100,0,20,80,-23
2022-02-10,-100,6,6,38,44,-100,57,34,0,88,58,33,-71,-100,-100,39,20,-100,-56,67,100,-61,-100,0,64,0,-20,100,53
2022-02-11,-32,100,-22,-18,23,-36,-54,-34,0,21,100,-56,68,10,-43,-37,42,64,0,-47,-100,100,80,90,-100,72,0,-100,-53
2022-02-14,0,-100,0,100,0,100,71,100,59,-11,10,48,100,-59,70,83,100,100,29,-42,-30,100,-22,-14,100,-72,100,61,0
2022-02-15,100,-83,0,32,-50,-23,-68,-33,-59,-39,-95,-78,-48,0,71,-45,-6,-59,9,33,0,-8,96,-10,-100,15,-17,100,0
2022-02-16,-100,0,0,10,37,-77,-4,-50,8,-59,-60,0,-24,19,-48,-53,-100,-72,-38,-90,0,62,100,-65,-100,-12,23,100,0
2022-02-17,100,0,0,-80,68,14,61,-17,1,92,-35,100,100,73,56,20,-100,-26,0,0,0,-100,66,-1,-24,-3,100,100,36
2022-02-18,-11,12,0,92,83,-14,95,0,-9,-92,77,-13,-9,-14,-100,-42,100,32,0,31,34,10,15,100,100,21,100,100,94
