date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-04-06,100,0,100,0,100,0,0,46,0,100,0,0,100,42,0,0,41,48,31,0,0,36,0,35,0,9,22,74,100
2021-04-07,-2,0,-15,0,100,0,0,11,0,-31,18,100,20,-42,0,0,7,-3,100,60,85,-36,100,-35,0,48,100,69,-12
2021-04-08,-23,0,-38,100,-15,0,0,84,0,-69,100,26,-16,0,0,0,-3,100,-100,-60,-2,38,26,42,1,2,97,95,-50
2021-04-09,100,0,100,-89,18,0,0,-54,88,100,10,100,-56,0,28,0,-45,29,100,0,53,100,8,-28,100,99,100,-100,-38
2021-04-12,100,100,68,72,88,0,0,-87,53,-46,-4,-65,-33,0,-28,100,52,1,-43,76,17,-87,-6,-14,100,93,100,19,0
2021-04-13,-100,100,100,45,100,31,0,56,100,-54,100,-37,-15,100,38,100,-6,-100,-3,-20,-69,65,48,74,-41,-26,-100,0,0
2021-04-14,-44,55,89,100,41,-31,0,100,-1,0,100,-23,1,100,100,40,100,15,-74,100,100,50,62,-2,68,-27,-20,67,0
2021-04-15,-13,-100,16,-12,-100,0,0,100,38,0,-4,-100,-1,19,100,100,-25,100,33,-100,-100,21,8,100,100,-100,100,100,52
2021-04-16,48,45,99,-55,-23,0,100,-60,100,100,37,100,7,-76,-58,72,100,58,32,100,-31,86,53,-65,100,-14,-44,-100,80
2021-04-19,100,100,19,-100,-87,100,100,0,-100,0,0,0,0,-58,-38,-43,100,-14,0,0,100,-48,-43,0,100,-84,-73,2,-54
2021-04-20,-100,-100,-99,-61,81,-100,31,100,64,97,-100,-3,42,58,-100,21,-91,-69,-76,-40,-13,-93,-7,-100,100,39,74,27,-17
2021-04-21,-70,-34,-75,0,0,0,-12,1,100,100,0,100,100,-100,-34,0,-24,0,0,0,0,-12,0,-7,99,0,-100,-100,-61
2021-04-22,0,-100,100,100,0,0,-30,2,0,-45,-100,-48,0,-43,-8,100,-57,48,0,100,-71,-100,0,87,100,0,-100,0,0
2021-04-23,0,-25,100,-100,-11,100,100,-54,-3,-100,-100,39,-46,100,100,-64,23,70,100,-71,-42,80,52,20,17,-39,100,-100,0
