account_rewards,date
10774.751987426775,2021-10-04
5092.344623615267,2021-10-05
11778.68801927194,2021-10-06
720.6847773017362,2021-10-07
-5203.031211624155,2021-10-08
391.779512176523,2021-10-11
1947.6969508742914,2021-10-12
22932.159270446864,2021-10-13
6926.71331048198,2021-10-14
-2776.211942596361,2021-10-15
7229.411037445068,2021-10-18
7261.359607696533,2021-10-19
4959.52433013916,2021-10-20
7841.908226013184,2021-10-21
2335.3330078125,2021-10-22
3670.1484565734863,2021-10-25
-2153.9756240844727,2021-10-26
10186.907902889187,2021-10-27
6024.80907492456,2021-10-28
1507.296906783944,2021-10-29
140.3393463746179,2021-11-01
5490.776907257037,2021-11-02
5941.982409450458,2021-11-03
-1772.5842666625977,2021-11-04
4403.537710250821,2021-11-05
-409.67463771044277,2021-11-08
-12744.667343139648,2021-11-09
160.01555252075195,2021-11-10
4644.518593498273,2021-11-11
-5961.211719512939,2021-11-12
-4608.471008300781,2021-11-15
-1583.3204460144043,2021-11-16
-3444.6772537231445,2021-11-17
-10277.487189346459,2021-11-18
-404.1956253051758,2021-11-19
5614.09952545166,2021-11-22
-216.1452980041504,2021-11-23
-22113.33295059204,2021-11-24
16878.082815784495,2021-11-26
-24820.51490922924,2021-11-29
-34992.604199203546,2021-11-30
13010.005240409984,2021-12-01
2748.409981555771,2021-12-02
16425.974428783404,2021-12-03
15201.363964019809,2021-12-06
-795.1052284240723,2021-12-07
4799.81379699707,2021-12-08
10763.144676208496,2021-12-09
543.0477333068848,2021-12-10
-8030.9506187438965,2021-12-13
15015.903602600098,2021-12-14
-9442.415203094482,2021-12-15
-15406.158771514893,2021-12-16
-8832.461799621582,2021-12-17
12180.780582427979,2021-12-20
6501.603435516357,2021-12-21
1958.037467956543,2021-12-22
12881.064228057861,2021-12-23
2057.35884475708,2021-12-27
1749.2896842956543,2021-12-28
-701.2246131896973,2021-12-29
-942.5193176269531,2021-12-30
